            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2448217.033695556, A.D. 1990-Nov-21 12:48:31.2960, -1.631838774327814E+09,  1.124517949398987E+09, -6.332665196045334E+08, -5.397713295989938E+00,  6.509186026264875E+00, -2.558052492917751E+00,
2448326.629551528, A.D. 1991-Mar-11 03:06:33.2520, -1.681899136478532E+09,  1.185424883680789E+09, -6.570798441590548E+08, -5.178726489843744E+00,  6.356706416531447E+00, -2.472721181875821E+00,
2448436.225407500, A.D. 1991-Jun-28 17:24:35.2080, -1.729967284196419E+09,  1.244929304554446E+09, -6.801142923337477E+08, -4.976528151587430E+00,  6.212789167592699E+00, -2.393406580770160E+00,
2448545.821263472, A.D. 1991-Oct-16 07:42:37.1640, -1.776191482395570E+09,  1.303107814639358E+09, -7.024231963108722E+08, -4.788928791186150E+00,  6.076515560700321E+00, -2.319363569438026E+00,
2448655.417119444, A.D. 1992-Feb-02 22:00:39.1200, -1.820701139937954E+09,  1.360029012099793E+09, -7.240534518843144E+08, -4.614118944276828E+00,  5.947107877523355E+00, -2.249972170917490E+00,
2448765.012975417, A.D. 1992-May-22 12:18:41.0760, -1.863609993627672E+09,  1.415754674153614E+09, -7.450465608451790E+08, -4.450586385072310E+00,  5.823898760796831E+00, -2.184709212332086E+00,
2448874.608831389, A.D. 1992-Sep-09 02:36:43.0320, -1.905018626551083E+09,  1.470340690258130E+09, -7.654394503185672E+08, -4.297056594427785E+00,  5.706308891945278E+00, -2.123128953972916E+00,
2448984.204687361, A.D. 1992-Dec-27 16:54:44.9880, -1.945016497878188E+09,  1.523837817133419E+09, -7.852651372955135E+08, -4.152448046075812E+00,  5.593831316839330E+00, -2.064849289987776E+00,
2449093.800543333, A.D. 1993-Apr-16 07:12:46.9440, -1.983683598370966E+09,  1.576292308037352E+09, -8.045532791935312E+08, -4.015837226524876E+00,  5.486020158453364E+00, -2.009541159548364E+00,
2449203.396399306, A.D. 1993-Aug-03 21:30:48.9000, -2.021091809701242E+09,  1.627746448109440E+09, -8.233306341866101E+08, -3.886430733314060E+00,  5.382481867469559E+00, -1.956919961842609E+00,
2449312.992255278, A.D. 1993-Nov-21 11:48:50.8560, -2.057306026196024E+09,  1.678239014635414E+09, -8.416214472767252E+08, -3.763542805292648E+00,  5.282867978309087E+00, -1.906738400098384E+00,
2449422.588111250, A.D. 1994-Mar-11 02:06:52.8120, -2.092385085518430E+09,  1.727805674180325E+09, -8.594477746259098E+08, -3.646577248702419E+00,  5.186868980797015E+00, -1.858780556078395E+00,
2449532.183967222, A.D. 1994-Jun-28 16:24:54.7680, -2.126382545276936E+09,  1.776479325834128E+09, -8.768297566802049E+08, -3.535012861430967E+00,  5.094209053390465E+00, -1.812856985827103E+00,
2449641.779823194, A.D. 1994-Oct-16 06:42:56.7240, -2.159347335200257E+09,  1.824290398441773E+09, -8.937858490956491E+08, -3.428391602565390E+00,  5.004641570176067E+00, -1.768800669355146E+00,
2449751.375679167, A.D. 1995-Feb-02 21:00:58.6800, -2.191324308207318E+09,  1.871267108389359E+09, -9.103330188060539E+08, -3.326308985614811E+00,  4.917945270511068E+00, -1.726463684797975E+00,
2449860.971535139, A.D. 1995-May-23 11:19:00.6360, -2.222354708903541E+09,  1.917435683900724E+09, -9.264869113815321E+08, -3.228406187014627E+00,  4.833920986707802E+00, -1.685714449198511E+00,
2449970.567391111, A.D. 1995-Sep-10 01:37:02.5920, -2.252476574234279E+09,  1.962820560791447E+09, -9.422619946320475E+08, -3.134363538274694E+00,  4.752388875103532E+00, -1.646435436114447E+00,
2450080.163247083, A.D. 1995-Dec-28 15:55:04.5480, -2.281725077876479E+09,  2.007444553847763E+09, -9.576716823820006E+08, -3.043895128462970E+00,  4.673186034847149E+00, -1.608521268507249E+00,
2450189.759103056, A.D. 1996-Apr-16 06:13:06.5040, -2.310132827856702E+09,  2.051329007450109E+09, -9.727284417345241E+08, -2.956744279692494E+00,  4.596164480489811E+00, -1.571877117540216E+00,
2450299.354959028, A.D. 1996-Aug-03 20:31:08.4600, -2.337730124913697E+09,  2.094493928348806E+09, -9.874438864092056E+08, -2.872679755252845E+00,  4.521189404560563E+00, -1.536417358660228E+00,
2450408.950815000, A.D. 1996-Nov-21 10:49:10.4160, -2.364545187714541E+09,  2.136958103122295E+09, -1.001828858293007E+09, -2.791492541234740E+00,  4.448137664680591E+00, -1.502064420585563E+00,
2450518.546670972, A.D. 1997-Mar-11 01:07:12.3720, -2.390604350047078E+09,  2.178739202375897E+09, -1.015893498989149E+09, -2.712993115995438E+00,  4.376896490805226E+00, -1.468747812725182E+00,
2450628.142526945, A.D. 1997-Jun-28 15:25:14.3280, -2.415932234049792E+09,  2.219853873436639E+09, -1.029647312782029E+09, -2.637009119035142E+00,  4.307362349494450E+00, -1.436403287472225E+00,
2450737.738382916, A.D. 1997-Oct-16 05:43:16.2840, -2.440551902957277E+09,  2.260317823049427E+09, -1.043099222244217E+09, -2.563383340280154E+00,  4.239439953043032E+00, -1.404972114226613E+00,
2450847.334238889, A.D. 1998-Feb-02 20:01:18.2400, -2.464484996239356E+09,  2.300145891256699E+09, -1.056257617467656E+09, -2.491972002385655E+00,  4.173041396120978E+00, -1.374400459426318E+00,
2450956.930094861, A.D. 1998-May-23 10:19:20.1960, -2.487751849526735E+09,  2.339352117594199E+09, -1.069130399782917E+09, -2.422643265443985E+00,  4.108085386590485E+00, -1.344638840265655E+00,
2451066.525950833, A.D. 1998-Sep-10 00:37:22.1520, -2.510371601400177E+09,  2.377949800477962E+09, -1.081725020683403E+09, -2.355275933450011E+00,  4.044496574102713E+00, -1.315641652482115E+00,
2451176.121806805, A.D. 1998-Dec-28 14:55:24.1080, -2.532362288755044E+09,  2.415951550540610E+09, -1.094048516541970E+09, -2.289758338753999E+00,  3.982204948568735E+00, -1.287366758577286E+00,
